FID,LGA,VM_PARCEL_,VM_PARCE_1,DATA_SOURC,OS_CATEGOR,OS_CATEG_2,OWNER_TYPE,PARK_NAME,OS_STATUS,OS_ACCESS,HA,WATER_BODY,OS_TYPE,OWNER_NAME,Image_URL,VPA_ID,SHAPE_Leng,SHAPE_Area
34230,MELBOURNE,2174\PP2541,"173088237",VM CL Parcels,Natural and semi-natural open space,Regional link,Crown,Maribyrnong River Bike Trail,Existing,Open,0.045600000000000,,Public open space,Crown,https://lh3.googleusercontent.com/-mCSb2HRxCUs/VbbQM7O_IEI/AAAAAAAAERc/sKW1D8O1X5UUOn-2GQ4k82FWGU1iB0NAgCCo/s288/Bushland%2B-%2BWhitehorse.JPG,35470,0.001160768960770,0.000000046646362
34232,MELBOURNE,1\TP874082,"1370528",Melbourne City Council Park Status,Parks and gardens,Not applicable,NO DATA,St Marys,Existing,Open,0.013600000000000,,Public open space,NO DATA,https://lh3.googleusercontent.com/-rdTUgqfNyXg/VbbYZb1fjoI/AAAAAAAAESY/ZS9WwcwlDJwHifT4nCXIgAXNSR6N0tY1gCCo/s288/Water%2B-%2BHume.JPG,35374,0.000513397776861,0.000000013910184
34233,MELBOURNE,2176\PP2541,"52749531",VM CL Parcels,Natural and semi-natural open space,Regional link,Crown,Maribyrnong River frontage - Melbourne,Existing,Open,0.041500000000000,,Public open space,Crown,https://lh3.googleusercontent.com/-mCSb2HRxCUs/VbbQM7O_IEI/AAAAAAAAERc/sKW1D8O1X5UUOn-2GQ4k82FWGU1iB0NAgCCo/s288/Bushland%2B-%2BWhitehorse.JPG,35471,0.000898101318639,0.000000042460517
34234,MELBOURNE,2043\PP5514A,"211823463",VM CL Parcels,Parks and gardens,Not applicable,Crown,Yarra Park,Existing,Open,1.625200000000000,,Public open space,Crown,https://lh3.googleusercontent.com/-rdTUgqfNyXg/VbbYZb1fjoI/AAAAAAAAESY/ZS9WwcwlDJwHifT4nCXIgAXNSR6N0tY1gCCo/s288/Water%2B-%2BHume.JPG,35472,0.005737578335756,0.000001663102303
34235,MELBOURNE,1\TP874082,"1370528",Melbourne City Council Park Status,Parks and gardens,Not applicable,NO DATA,St Marys Church,Existing,Open,0.045600000000000,,Public open space,NO DATA,https://lh3.googleusercontent.com/-rdTUgqfNyXg/VbbYZb1fjoI/AAAAAAAAESY/ZS9WwcwlDJwHifT4nCXIgAXNSR6N0tY1gCCo/s288/Water%2B-%2BHume.JPG,35375,0.001315657868166,0.000000046672471
34236,MELBOURNE,2007\PP5514A,"212447103",VM CL Parcels,Sportsfields and organised recreation,Not applicable,Crown,Olympic Park - part,Existing,Open,0.005400000000000,,Public open space,Crown,https://lh3.googleusercontent.com/-IeXcYfXdodo/V47dakbegkI/AAAAAAAAEz8/O9rC3RsPeCAza_GXH_xwCrK0oqmj7UE6gCCo/s288/Collingwood%2Boval.jpg,35473,0.000351048513015,0.000000005481941
34237,MELBOURNE,1\TP874082,"1370528",Melbourne City Council Park Status,Parks and gardens,Not applicable,NO DATA,St Marys Church,Existing,Open,0.050000000000000,,Public open space,NO DATA,https://lh3.googleusercontent.com/-rdTUgqfNyXg/VbbYZb1fjoI/AAAAAAAAESY/ZS9WwcwlDJwHifT4nCXIgAXNSR6N0tY1gCCo/s288/Water%2B-%2BHume.JPG,35376,0.001081396122243,0.000000051156243
34239,MELBOURNE,2B~19C\PP5514A,"150794158",VM CL Parcels,Parks and gardens,Not applicable,Crown,Yarra Park,Existing,Open,2.022900000000000,,Public open space,Crown,https://lh3.googleusercontent.com/-rdTUgqfNyXg/VbbYZb1fjoI/AAAAAAAAESY/ZS9WwcwlDJwHifT4nCXIgAXNSR6N0tY1gCCo/s288/Water%2B-%2BHume.JPG,35474,0.006872126072161,0.000002069953303
34240,MELBOURNE,2146\PP2796,"203642223",VM CL Parcels,Parks and gardens,Not applicable,Crown,Park Street Gardens - Parkville,Existing,Open,0.078200000000000,,Public open space,Crown,https://lh3.googleusercontent.com/-rdTUgqfNyXg/VbbYZb1fjoI/AAAAAAAAESY/ZS9WwcwlDJwHifT4nCXIgAXNSR6N0tY1gCCo/s288/Water%2B-%2BHume.JPG,35475,0.001539377589896,0.000000079930497
34245,MELBOURNE,2147\PP2796,"203640665",VM CL Parcels,Parks and gardens,Not applicable,Crown,Garrard St Reserve,Existing,Open,0.115900000000000,,Public open space,Crown,https://lh3.googleusercontent.com/-rdTUgqfNyXg/VbbYZb1fjoI/AAAAAAAAESY/ZS9WwcwlDJwHifT4nCXIgAXNSR6N0tY1gCCo/s288/Water%2B-%2BHume.JPG,35476,0.001633483749134,0.000000118535645
34247,MELBOURNE,2216\PP2796,"212128375",VM CL Parcels,Parks and gardens,Not applicable,Crown,Carrangall Place Reserve,Existing,Open,0.040500000000000,,Public open space,Crown,https://lh3.googleusercontent.com/-rdTUgqfNyXg/VbbYZb1fjoI/AAAAAAAAESY/ZS9WwcwlDJwHifT4nCXIgAXNSR6N0tY1gCCo/s288/Water%2B-%2BHume.JPG,35477,0.000805866585650,0.000000041389332
34252,MELBOURNE,2217\PP2796,"203642205",VM CL Parcels,Parks and gardens,Not applicable,Crown,Parkville Gardens,Existing,Open,0.679100000000000,,Public open space,Crown,https://lh3.googleusercontent.com/-rdTUgqfNyXg/VbbYZb1fjoI/AAAAAAAAESY/ZS9WwcwlDJwHifT4nCXIgAXNSR6N0tY1gCCo/s288/Water%2B-%2BHume.JPG,35478,0.008623591880164,0.000000694463757
34254,MELBOURNE,2022\PP2796,"202639738",VM CL Parcels,Natural and semi-natural open space,Not applicable,Crown,Moonee Ponds Creek (former),Existing,Open,0.039800000000000,,Public open space,Crown,https://lh3.googleusercontent.com/-mCSb2HRxCUs/VbbQM7O_IEI/AAAAAAAAERc/sKW1D8O1X5UUOn-2GQ4k82FWGU1iB0NAgCCo/s288/Bushland%2B-%2BWhitehorse.JPG,35479,0.000856701726370,0.000000040709951
